Day    Avg(ms)     STD(ms)   Time %    Avg(MB)   STD(MB)   Memory %  Lang      Size(kB)  Lines     
----------------------------------------------------------------------------------------------------
 1     103.76       1.12     0.36%      1.85      0.01     0.30%     .py        0.91      38       
 2     204.56       2.37     0.70%      22.25     1.13     3.57%     .py        1.47      58       
 3     203.94       1.09     0.70%      22.68     0.25     3.64%     .py        2.99      93       
 4     2946.98      46.85    10.14%     12.82     0.01     2.06%     .py        1.46      40       
 5     203.94       1.46     0.70%      23.67     0.46     3.80%     .py        1.85      68       
 6     203.87       1.49     0.70%      23.71     0.36     3.81%     .py        1.66      57       
 7     204.02       1.33     0.70%      24.16     0.32     3.88%     .py        2.77      83       
 8     203.59       1.19     0.70%      23.71     0.65     3.81%     .py        1.46      47       
 9     604.93       1.22     2.08%      73.21     5.29     11.76%    .py        3.01      92       
 10    2110.85      83.28    7.26%      102.06    7.46     16.39%    .py        1.16      43       
 11    1474.51      48.18    5.07%      10.55     0.01     1.69%     .py        1.86      63       
 12    203.48       0.92     0.70%      23.37     0.41     3.75%     .py        1.63      47       
 13    103.62       1.21     0.36%      1.85      0.00     0.30%     .py        4.18      106      
 14    1007.91      0.94     3.47%      67.88     0.11     10.90%    .py        3.65      108      
 15    7195.56      205.55   24.76%     25.00     0.92     4.02%     .py        3.22      87       
 16    538.69       46.68    1.85%      59.74     1.90     9.59%     .py        3.55      103      
 17    303.79       0.49     1.05%      21.63     0.03     3.47%     .rb        1.23      47       
 18    437.96       46.81    1.51%      25.10     0.08     4.03%     .py        4.54      133      
 19    203.56       0.49     0.70%      18.58     0.21     2.98%     .rb        2.24      74       
 20    301.32       15.17    1.04%      1.83      0.01     0.29%     .c         2.30      65       
 21    103.52       1.36     0.36%      1.85      0.01     0.30%     .py        5.65      156      
 22    3591.63      68.62    12.36%     19.71     0.06     3.17%     .c, rb     14.48     409      
 23    103.53       1.12     0.36%      1.85      0.00     0.30%     .py        3.37      91       
 24    103.16       1.01     0.36%      1.84      0.00     0.30%     .py        1.60      46       
 25    6393.13      169.60   22.00%     11.78     0.04     1.89%     .py        1.41      43       
----------------------------------------------------------------------------------------------------
Total  29055.81    749.55    100.00%   622.70     19.74    100.00%    N/A       73.65    2197      


Year: 2015, Iterations: 3
