Day      Avg(ms)    STD(ms)    Time%    Avg(MB)    STD(MB)    Mem%     Lang       Size(kB)   Lines 
-----------------------------------------------------------------------------------------------
1        106.62     1.85       0.35     1.90       0.02       0.27     .py        0.91       38    
2        206.61     1.82       0.67     26.65      0.07       3.75     .py        1.47       58    
3        206.35     1.03       0.67     26.98      0.32       3.80     .py        2.99       93    
4        3118.17    1.35       10.16    17.95      0.07       2.53     .py        1.46       40    
5        206.56     1.48       0.67     26.45      0.09       3.73     .py        1.85       68    
6        206.55     0.94       0.67     26.97      0.29       3.80     .py        1.66       57    
7        206.61     1.36       0.67     26.84      0.32       3.78     .py        2.77       83    
8        206.55     1.06       0.67     26.62      0.27       3.75     .py        1.46       47    
9        575.75     47.62      1.88     75.18      1.69       10.59    .py        3.01       92    
10       2348.68    46.86      7.65     112.92     4.10       15.90    .py        1.16       43    
11       1712.34    0.53       5.58     16.62      0.05       2.34     .py        1.86       63    
12       207.05     1.83       0.67     26.03      1.08       3.67     .py        1.63       47    
13       139.92     47.00      0.46     5.72       5.42       0.81     .py        4.18       106   
14       976.55     48.02      3.18     74.21      0.17       10.45    .py        3.65       108   
15       7871.33    208.34     25.65    29.28      0.08       4.12     .py        3.22       87    
16       475.07     48.57      1.55     63.29      2.16       8.91     .py        3.55       103   
17       304.83     0.59       0.99     21.96      0.04       3.09     .rb        1.23       47    
18       508.57     2.00       1.66     28.30      0.03       3.98     .py        4.54       133   
19       204.54     0.51       0.67     19.40      0.14       2.73     .rb        2.24       74    
20       294.76     5.58       0.96     1.87       0.01       0.26     .c         2.30       65    
21       106.54     0.96       0.35     1.90       0.02       0.27     .py        5.65       156   
22       3691.18    48.81      12.03    17.83      0.02       2.51     .py        0.73       24    
23       106.63     1.53       0.35     1.91       0.01       0.27     .py        3.37       91    
24       206.52     1.27       0.67     16.69      0.04       2.35     .py        1.60       46    
25       6498.61    189.75     21.17    16.60      0.03       2.34     .py        1.41       43    
-----------------------------------------------------------------------------------------------
Total    30692.89   710.64     100.00   710.07     16.54      100.00              59.90      1812  

Challenge: Advent of Codes: Year 2015(The First One)!, Iterations: 3
